"id накладной";Дата;"Номер накладной";"id поставщика";"id продукта";"Шифр продукта";"Название продукта";"К-во продукта";Стоимость;"Срок хранения";"Название поставщика"
5860;"2020-05-04 08:14:00";0626366;41;128;615278;Картофель;266;99.48;;"Рогачевское РАЙПО"
5861;"2020-05-04 08:16:00";5465478;41;130;615280;"Капуста квашеная";2;4.64;"2020-06-04 00:00:00";"Рогачевское РАЙПО"
5847;"2020-05-04 08:33:00";5277782;1;99;612053;Кефир;18;20.46;"2020-05-12 00:00:00";"ОАО ""Рогачевский МКК"""
5847;"2020-05-04 08:33:00";5277782;1;96;612036;"Молоко свежее";36;41.80;"2020-05-10 00:00:00";"ОАО ""Рогачевский МКК"""
5847;"2020-05-04 08:33:00";5277782;1;100;612060;Сметана;2.4;9.11;"2020-05-18 00:00:00";"ОАО ""Рогачевский МКК"""
5876;"2020-05-04 09:43:00";6292760;51;214|9;611008;"Рыба (минтай неразделаный)";25.165;143.67;"2021-07-15 00:00:00";"ООО ""Агро"""
5848;"2020-05-04 11:00:00";6476410;38;140;616002;"Хлеб ржаной";10.8;14.26;"2020-05-08 00:00:00";"Жлобинский хлебзавод"
5848;"2020-05-04 11:00:00";6476410;38;139|20;6101477;"Батон (Хлеб пшеничный)";8.25;14.88;"2020-05-07 00:00:00";"Жлобинский хлебзавод"
5849;"2020-05-04 11:57:00";"внутреннее перемещение 194 5 сш";;99;612053;Кефир;0.9;1.02;"2020-05-12 00:00:00";
5853;"2020-05-05 07:58:00";0060829;49;212|16;610002;"Свинина (т/ч)";2;20.28;"2020-05-24 00:00:00";"ОАО Гомельский мясокомбинат"
5854;"2020-05-05 08:03:00";0060830;49;213|13;610001;"Говядина (т/часть)";8;91.61;"2020-05-20 00:00:00";"ОАО Гомельский мясокомбинат"
5855;"2020-05-05 08:04:00";0047536;5;103;612084;"Яйцо (шт)";50;9.46;"2020-05-10 00:00:00";"ОАО ""Торговый дом Сож"""
5856;"2020-05-05 08:07:00";1979616;5;89;610036;Колбаса;4.05;17.82;"2020-06-24 00:00:00";"ОАО ""Торговый дом Сож"""
5857;"2020-05-05 08:08:00";1979479;5;115;613072;Горох;13;12.79;"2021-04-06 00:00:00";"ОАО ""Торговый дом Сож"""
5858;"2020-05-05 08:11:00";1979645;5;185;614018;"Фруктовое пюре";37.62;169.88;"2021-05-03 00:00:00";"ОАО ""Торговый дом Сож"""
5859;"2020-05-05 08:12:00";1979524;5;107;613029;"Крупа гречневая ядрица";20;31.68;"2021-02-05 00:00:00";"ОАО ""Торговый дом Сож"""
5850;"2020-05-05 09:18:00";5288787;1;180;612039;Йогурт;12.5;46.20;"2020-06-03 00:00:00";"ОАО ""Рогачевский МКК"""
5850;"2020-05-05 09:18:00";5288787;1;96;612036;"Молоко свежее";67.5;78.38;"2020-05-12 00:00:00";"ОАО ""Рогачевский МКК"""
5851;"2020-05-05 11:06:00";6476903;38;140;616002;"Хлеб ржаной";10.8;14.26;"2020-05-09 00:00:00";"Жлобинский хлебзавод"
5851;"2020-05-05 11:06:00";6476903;38;139|20;6101477;"Батон (Хлеб пшеничный)";10.5;18.94;"2020-05-08 00:00:00";"Жлобинский хлебзавод"
5864;"2020-05-05 11:58:00";6072877;6;145;616042;Соль;16;7.10;;"ОАО ""Сахарторг"""
5864;"2020-05-05 11:58:00";6072877;6;121;614074;Печенье;12;33.00;"2021-03-23 00:00:00";"ОАО ""Сахарторг"""
5864;"2020-05-05 11:58:00";6072877;6;108;613030;"Крупа манная";10;10.56;"2020-12-14 00:00:00";"ОАО ""Сахарторг"""
5852;"2020-05-05 12:30:00";"внутреннее перемещение 6 сш";;94;612001;"Масло крестьянское";1.98;26.02;"2020-05-25 00:00:00";
5897;"2020-05-05 14:42:00";1979765;5;144;616030;Дрожжи;0.5;2.48;"2020-06-16 00:00:00";"ОАО ""Торговый дом Сож"""
5862;"2020-05-06 09:21:00";5288225;1;99;612053;Кефир;22.5;25.58;"2020-05-14 00:00:00";"ОАО ""Рогачевский МКК"""
5862;"2020-05-06 09:21:00";5288225;1;96;612036;"Молоко свежее";45;52.25;"2020-05-13 00:00:00";"ОАО ""Рогачевский МКК"""
5862;"2020-05-06 09:21:00";5288225;1;215;612067;Творог;14.3;79.37;"2020-05-13 00:00:00";"ОАО ""Рогачевский МКК"""
5862;"2020-05-06 09:21:00";5288225;1;180;612039;Йогурт;12.5;46.20;"2020-06-03 00:00:00";"ОАО ""Рогачевский МКК"""
5862;"2020-05-06 09:21:00";5288225;1;100;612060;Сметана;2.4;9.11;"2020-05-20 00:00:00";"ОАО ""Рогачевский МКК"""
5863;"2020-05-06 11:56:00";6477028;38;139|20;6101477;"Батон (Хлеб пшеничный)";3.75;6.77;"2020-05-09 00:00:00";"Жлобинский хлебзавод"
5863;"2020-05-06 11:56:00";6477028;38;140;616002;"Хлеб ржаной";15.3;20.20;"2020-05-10 00:00:00";"Жлобинский хлебзавод"
5865;"2020-05-06 13:20:00";2498988;42;131;615282;"Лук репчатый";10;3.80;;"ЧТУП ""Ан марше"""
5865;"2020-05-06 13:20:00";2498988;42;129;615279;"Капуста свежая";20;5.20;;"ЧТУП ""Ан марше"""
5866;"2020-05-06 13:21:00";2459964;22;229;615098;Нектар;240;145.20;"2022-03-23 00:00:00";"ОАО«Ельский консервный завод»"
5872;"2020-05-06 14:34:00";6292901;51;214|9;611008;"Рыба (минтай неразделаный)";26.965;153.95;"2021-02-09 00:00:00";"ООО ""Агро"""
5873;"2020-05-06 14:36:00";6292886;51;88;610009;Цыплята;12.58;48.43;"2021-03-27 00:00:00";"ООО ""Агро"""
5868;"2020-05-07 09:11:00";5285732;1;96;612036;"Молоко свежее";18;20.90;"2020-05-14 00:00:00";"ОАО ""Рогачевский МКК"""
5868;"2020-05-07 09:11:00";5285732;1;215;612067;Творог;14.3;79.37;"2020-05-14 00:00:00";"ОАО ""Рогачевский МКК"""
5868;"2020-05-07 09:11:00";5285732;1;100;612060;Сметана;1.2;4.55;"2020-05-22 00:00:00";"ОАО ""Рогачевский МКК"""
5868;"2020-05-07 09:11:00";5285732;1;99;612053;Кефир;4.5;5.12;"2020-05-14 00:00:00";"ОАО ""Рогачевский МКК"""
5871;"2020-05-07 10:17:00";6477419;38;139|20;6101477;"Батон (Хлеб пшеничный)";5.25;9.47;"2020-05-10 00:00:00";"Жлобинский хлебзавод"
5871;"2020-05-07 10:17:00";6477419;38;140;616002;"Хлеб ржаной";10.8;14.26;"2020-05-11 00:00:00";"Жлобинский хлебзавод"
5874;"2020-05-07 14:59:00";0061529;49;213|13;610001;"Говядина (т/часть)";5;57.26;"2020-05-22 00:00:00";"ОАО Гомельский мясокомбинат"
5884;"2020-05-08 08:17:00";2496651;48;94;612001;"Масло крестьянское";10.8;141.90;"2020-06-05 00:00:00";"ООО ""ТД Рогачев"""
5875;"2020-05-08 09:10:00";5278552;1;96;612036;"Молоко свежее";22.5;26.13;"2020-05-15 00:00:00";"ОАО ""Рогачевский МКК"""
5881;"2020-05-08 11:01:00";6477632;38;140;616002;"Хлеб ржаной";8.1;10.89;"2020-05-12 00:00:00";"Жлобинский хлебзавод"
5881;"2020-05-08 11:01:00";6477632;38;139;616003;Батон;6;12.67;"2020-05-12 00:00:00";"Жлобинский хлебзавод"
